[chain v4b] starting at Mon May  4 13:21:27 CDT 2026 — mkdir-based seqan3 lock (Git Bash lacks flock)
[13:21:39] [chain v4] ===== chain v4 launch =====
[13:21:39] [chain v4] [E0] strand start
[13:21:39] [chain v4] [main] strands launched: E0=49590 E1S=49592 E2=49593
[05:59:03] [chain v4] [E0] launching E0/d cells=biopython_sam vcfpy_vcf (has_seqan3=0)
[10:22:34] [chain v4] [E0] E0/d done rc=0 elapsed=263min
[10:22:34] [chain v4] [E0] strand complete
[10:22:34] [chain v4] [main] E0 strand exited rc=0
[10:22:34] [chain v4] [main] E1S strand exited rc=0
[10:22:34] [chain v4] [main] E2 strand exited rc=0
[10:22:34] [chain v4] ===== all strands done; starting metrics chain =====
[10:22:34] [chain v4] [main] === MUTATION step ===
[10:22:34] [metrics_4rep] === config E0 ===
[10:22:34] [metrics_4rep] E0[a] htsjdk_vcf: skip — already has summary
[10:22:34] [metrics_4rep] E0[a] htsjdk_sam: skip — already has summary
[10:22:34] [metrics_4rep] E0[a] vcfpy_vcf: skip — already has summary
[10:22:35] [metrics_4rep] E0[a] noodles_vcf: skip — already has summary
[10:22:35] [metrics_4rep] E0[a] biopython_sam: skip — already has summary
[10:22:36] [metrics_4rep] E0[a] seqan3_sam: skip — already has summary
[10:22:36] [metrics_4rep] E0[b] htsjdk_vcf: skip — already has summary
[10:22:36] [metrics_4rep] E0[b] htsjdk_sam: launching (895 files, budget 1800s)
